"A 상품군별(1)","A 상품군별(2)",B 판매매체별(1),M201701 2017.01,M201702 2017.02,M201703 2017.03,M201704 2017.04,M201705 2017.05,M201706 2017.06,M201707 2017.07,M201708 2017.08,M201709 2017.09,M201710 2017.10,M201711 2017.11,M201712 2017.12,M201801 2018.01,M201802 2018.02,M201803 2018.03,M201804 2018.04,M201805 2018.05,M201806 2018.06,M201807 2018.07,M201808 2018.08,M201809 2018.09,M201810 2018.10,M201811 2018.11,M201812 2018.12,M201901 2019.01,M201902 2019.02,M201903 2019.03,M201904 2019.04,M201905 2019.05,M201906 2019.06,M201907 2019.07,M201908 2019.08,M201909 2019.09,M201910 2019.10,M201911 2019.11,M201912 2019.12,M202001 2020.01,M202002 2020.02,M202003 2020.03,M202004 2020.04,M202005 2020.05,M202006 2020.06,M202007 2020.07,M202008 2020.08,M202009 2020.09,M202010 2020.10,M202011 2020.11,M202012 2020.12,M202101 2021.01,M202102 2021.02,M202103 2021.03,M202104 2021.04,M202105 2021.05,M202106 2021.06,M202107 2021.07,M202108 2021.08,M202109 2021.09,M202110 2021.10,M202111 2021.11,M202112 2021.12,M202201 2022.01,M202202 2022.02,M202203 2022.03,M202204 2022.04,M202205 2022.05,M202206 2022.06,M202207 2022.07,M202208 2022.08,M202209 2022.09,M202210 2022.10,M202211 2022.11,M202212 2022.12,M202301 2023.01,M202302 2023.02,M202303 2023.03,M202304 2023.04,M202305 2023.05,M202306 2023.06,M202307 2023.07,M202308 2023.08,M202309 2023.09,M202310 2023.10,M202311 2023.11,M202312 2023.12,M202401 2024.01,M202402 2024.02,M202403 2024.03,M202404 2024.04,M202405 2024.05,M202406 2024.06,M202407 2024.07,M202408 2024.08,M202409 2024.09,M202410 2024.10,M202411 2024.11,M202412 2024.12,M202501 M202501 2025.01 p),M202502 M202502 2025.02 p)
"013 농축수산물","소계",10 모바일쇼핑,142230,100582,121835,110327,112058,114736,118131,125578,166426,107471,132643,146060,168319,172972,152387,144262,148502,145068,149306,160790,183571,158130,170752,173774,269825,164432,192821,195328,196679,190836,199602,217195,247714,224229,231804,241793,324708,339871,419899,378336,334508,322496,344258,387136,552702,400662,410631,548078,612173,522842,497057,488527,502347,472559,503524,547387,625561,499052,509742,604487,771826,539118,624681,559539,550478,533453,543284,664723,641006,548009,559431,608488,797440,553352,606782,587409,630659,618088,636410,704062,878887,661661,700358,771924,901241,843388,790785,758070,794374,739389,753644,810338,924876,790510,794235,864331,1141331,824673
"014 생활용품","소계",00 계,592310,607119,619493,575323,600558,597243,613589,631622,653743,602048,708613,681900,710430,636039,739338,709864,715962,687897,740180,714937,691804,788705,799848,787821,831769,735651,869192,821882,862291,812251,845351,874832,859634,907585,932759,927285,924081,1133923,1236729,1055996,1137418,1144988,1191519,1256466,1204082,1142728,1180297,1344804,1258550,1118099,1274660,1223896,1269005,1255240,1313795,1290387,1278449,1326992,1336304,1444972,1351648,1333169,1459725,1338222,1380382,1368945,1382460,1456385,1328001,1359010,1421610,1450150,1337417,1282871,1454800,1370973,1495348,1464123,1494673,1504368,1420515,1526699,1597452,1557543,1533094,1437064,1602038,1550454,1624512,1581435,1658711,1620824,1526550,1616934,1626060,1621944,1487803,1511174
"014 생활용품","소계",20 인터넷쇼핑,245410,252296,266119,246729,247892,246264,240315,245562,265245,227897,274287,264710,261059,234324,271316,272221,259687,245069,258839,244105,238866,272434,273645,271350,274481,239248,290887,294143,296296,267664,280599,288626,281795,291248,295220,298547,262702,315128,343598,316505,327283,333066,331810,325816,332078,310590,329747,371859,321382,290631,335114,320261,326245,326374,333481,321971,312739,340251,353966,362958,332363,294805,333853,315631,330176,308798,302454,321522,290023,346987,376006,377567,315650,306101,373468,343523,359276,353908,348409,355272,332875,361609,398668,360673,356885,309463,359570,353152,360963,345787,369941,357126,324756,370030,385929,372432,292094,339213
"014 생활용품","소계",10 모바일쇼핑,346900,354823,353374,328595,352665,350978,373275,386060,388499,374151,434326,417191,449370,401715,468022,437644,456275,442828,481341,470832,452938,516271,526203,516470,557289,496403,578305,527740,565994,544587,564752,586206,577839,616337,637539,628739,661379,818795,893130,739491,810135,811922,859709,930650,872005,832138,850550,972945,937168,827468,939547,903636,942760,928866,980315,968416,965710,986740,982339,1082015,1019285,1038365,1125872,1022591,1050206,1060147,1080006,1134863,1037978,1012023,1045604,1072582,1021766,976770,1081332,1027450,1136072,1110215,1146264,1149096,1087640,1165090,1198784,1196871,1176209,1127601,1242468,1197302,1263549,1235648,1288770,1263697,1201794,1246904,1240131,1249512,1195708,1171961
"015 자동차 및 자동차용품","소계",00 계,80144,76677,81297,80513,87211,88191,94244,92700,86998,80475,89567,85223,77220,65502,83898,82601,84011,81252,91030,84879,78457,88244,98099,94668,96468,79857,106893,97417,106336,98707,97304,112212,169793,106702,159418,115796,119312,153960,196688,129962,141621,268300,169968,186481,194519,156100,214287,193706,144194,161497,358890,193664,407472,533645,184325,308862,357732,224602,380749,286386,250325,240079,429300,282352,387862,461125,286048,450284,536563,255561,376998,303624,251521,260079,388501,299961,334244,542320,314368,358522,602984,442608,589065,422287,327131,330223,707829,397877,592733,696726,471475,504216,410555,400847,546439,418502,272909,449370
"015 자동차 및 자동차용품","소계",20 인터넷쇼핑,34744,33549,37139,35727,38442,39538,41482,39414,36519,32422,39536,37716,31543,26428,36667,32750,32931,32724,35786,33296,30829,34981,42105,38056,35085,29204,43395,39003,43129,39230,38768,50770,94800,42339,92297,49755,69172,104608,140500,67820,71543,197464,93627,121090,122303,86151,122181,104771,68962,95979,284379,108441,319303,446434,100515,228381,264858,108271,230004,131942,123132,126594,299900,147045,237544,314555,138095,338255,401337,113940,215519,156647,109543,118845,233978,141530,168460,377796,153262,195914,447144,279595,392780,243297,159757,171165,526935,217755,400189,513975,290694,326785,230944,213887,351826,264650,130656,280914
"015 자동차 및 자동차용품","소계",10 모바일쇼핑,45400,43128,44158,44786,48770,48653,52762,53285,50478,48053,50031,47508,45677,39074,47231,49851,51080,48528,55245,51583,47628,53262,55994,56612,61383,50653,63498,58413,63207,59477,58536,61443,74993,64363,67121,66041,50140,49352,56188,62142,70078,70836,76341,65391,72216,69949,92106,88935,75232,65518,74510,85223,88169,87211,83810,80481,92873,116331,150745,154444,127192,113485,129400,135308,150319,146570,147953,112029,135226,141620,161479,146978,141978,141234,154523,158432,165784,164524,161106,162608,155840,163013,196285,178989,167374,159058,180894,180122,192544,182751,180782,177431,179611,186960,194613,153852,142253,168456
"016 가구","소계",00 계,188602,219176,240688,206024,201440,203584,211657,226983,227801,223084,242170,220685,251892,241563,277056,260782,254665,243327,247840,244396,242257,296675,295741,280075,284702,273700,309508,288266,289865,274041,266896,279352,291520,324803,329462,323767,305596,375440,435871,398746,397567,392272,379171,406125,443504,446688,443711,487828,473875,434696,497188,442887,434575,429089,425914,427867,420552,451944,453877,479119,443167,471393,478891,421921,428034,417428,406514,433886,404081,430880,434833,423958,414516,448193,474721,420587,441534,427881,439632,448439,414917,466101,488985,466558,496558,490399,525473,479124,467817,452252,449798,443896,423529,482039,491604,464535,450038,509692
"016 가구","소계",20 인터넷쇼핑,83204,96989,102935,88744,83217,84221,85175,90905,91966,85731,96351,88111,92737,89192,102507,95591,91504,89702,88726,86515,83475,102783,103195,98788,96792,89084,104367,99194,103232,93606,93750,93136,92330,100944,105773,104115,93010,116061,130124,122267,120344,117566,115979,117632,127333,128626,131046,143312,128857,115346,136085,121451,116616,121642,117128,115256,107186,119614,124021,128053,116648,117502,119727,111733,112692,104777,103874,109621,99931,112424,116530,117310,103684,113503,126110,110745,113649,113977,112914,116483,106318,116271,126198,119779,122691,114008,127777,120742,108234,104540,108762,102868,94657,113063,117233,112719,96004,115072
"016 가구","소계",10 모바일쇼핑,105397,122186,137752,117279,118222,119363,126482,136077,135835,137353,145819,132574,159155,152372,174549,165191,163161,153625,159115,157881,158782,193892,192546,181287,187910,184617,205141,189071,186633,180435,173145,186216,199190,223859,223689,219652,212586,259379,305747,276478,277223,274706,263192,288493,316171,318062,312666,344516,345018,319350,361103,321435,317959,307447,308786,312611,313366,332330,329856,351067,326519,353892,359164,310188,315342,312650,302640,324265,304149,318457,318303,306648,310832,334690,348611,309842,327885,313904,326719,331956,308599,349831,362787,346780,373868,376391,397696,358382,359583,347711,341036,341028,328872,368976,374372,351816,354034,394620
"017 애완용품","소계",00 계,53096,62005,65265,59383,56112,56092,58500,60590,66077,64491,72675,62280,72178,60944,68634,70338,69233,75126,75847,71481,66227,69666,68301,68077,72818,65332,73144,75924,77463,77825,77944,77351,82670,88768,86415,87025,114253,116642,126326,126422,126839,128447,138220,136638,139446,144256,145601,160729,158243,138320,158226,155935,158686,159458,165141,169974,165238,175109,174413,184107,177540,168644,187743,178635,187179,188369,188363,200606,192670,196331,200675,206586,206743,190844,213850,203800,217195,215490,218922,226226,211256,228741,226142,230053,230310,211346,229359,225028,232188,228532,235792,237110,224097,240221,240271,246408,238219,225451
"017 애완용품","소계",20 인터넷쇼핑,22849,24296,25187,23609,22937,22732,22569,23065,24325,22728,25677,23206,24538,20227,22960,22363,22195,23474,21873,21450,18168,21100,19750,19851,20185,19901,21791,24066,24044,22063,22177,21988,25333,25295,23474,24735,26134,26502,29056,30436,28951,30076,31989,30187,30765,32149,33422,35220,32380,28542,33127,32268,31206,31730,32936,33839,30591,35561,35331,34234,33967,27694,30318,28803,31063,30221,28821,33049,30289,38918,39102,40773,40113,38620,42823,39999,42608,43452,41278,44821,39766,44600,44434,42489,43636,39378,41935,41278,42075,42436,43113,44976,39933,44955,46951,45907,38591,42554
"017 애완용품","소계",10 모바일쇼핑,30247,37709,40078,35774,33175,33360,35931,37525,41752,41763,46998,39074,47640,40717,45674,47974,47039,51652,53975,50031,48060,48566,48551,48227,52633,45431,51353,51858,53419,55761,55767,55364,57337,63472,62941,62290,88118,90140,97271,95985,97888,98370,106231,106451,108682,112108,112179,125510,125863,109777,125099,123666,127480,127728,132206,136135,134647,139547,139082,149873,143573,140951,157424,149831,156115,158147,159542,167557,162380,157413,161573,165813,166631,152224,171027,163801,174586,172038,177644,181405,171490,184141,181707,187564,186673,171968,187423,183750,190113,186095,192679,192134,184164,195266,193320,200501,199629,182896
"018 여행 및 교통서비스","소계",00 계,1215463,1110440,1072596,1134841,1181895,1210908,1379402,1406339,1222948,1207513,1157662,1278343,1491434,1246049,1264187,1320458,1429210,1413924,1568131,1560063,1265599,1329206,1296434,1396719,1538638,1417432,1379761,1395058,1489894,1483712,1651491,1692768,1370146,1486653,1497585,1619104,1404685,684536,358058,439688,550677,582768,782008,780715,546396,678812,684439,469642,496568,569669,612314,690807,771440,789307,789194,787989,759768,889575,981279,967224,933931,781192,921597,1297918,1514222,1509874,1673687,1713992,1502390,1633307,1575596,1758769,2201506,2122658,2160996,2235924,2554573,2435220,2664658,2692875,2560574,2588657,2496891,2677493,2769726,2572507,2571886,2557730,2863538,2613285,2836006,2867924,2586942,2798515,2629697,2796952,2912741,2645831
"018 여행 및 교통서비스","소계",20 인터넷쇼핑,603688,552472,510654,534384,574594,605089,643280,645755,538530,549027,518560,522992,685630,548038,569662,588518,632925,627024,668379,650988,515727,586580,548742,572556,634258,587030,581118,586949,614613,612674,657421,658142,533192,598342,607963,641388,456795,222219,101944,90801,108884,117662,157901,160661,104505,146471,149213,90366,89120,117466,126601,161947,177072,178431,188267,188488,179342,204380,251920,223718,208205,186689,255814,395581,465903,470423,499276,494988,457514,493918,451186,499580,585222,591872,567625,583974,723040,668743,722519,752046,728776,743006,665304,710319,773716,701576,680475,677682,800382,658211,742912,717371,690454,769991,687497,736985,847253,751384
"018 여행 및 교통서비스","소계",10 모바일쇼핑,611775,557968,561942,600457,607302,605819,736121,760584,684418,658486,639102,755350,805804,698011,694525,731940,796285,786901,899752,909075,749872,742626,747692,824163,904380,830402,798643,808109,875280,871038,994070,1034627,836955,888311,889622,977716,947890,462317,256114,348887,441793,465106,624106,620054,441892,532341,535226,379276,407448,452203,485713,528860,594368,610876,600927,599501,580426,685194,729359,743506,725726,594503,665783,902337,1048319,1039451,1174411,1219004,1044876,1139389,1124410,1259188,1616284,1530786,1593371,1651950,1831532,1766477,1942139,1940830,1831798,1845651,1831587,1967174,1996010,1870931,1891412,1880048,2063156,1955075,2093094,2150553,1896488,2028523,1942200,2059967,2065487,1894447
"019 문화 및 레저서비스","소계",00 계,164254,123892,138133,119599,133785,144311,151647,184883,127031,179505,145082,207050,182387,151838,171416,164965,153740,169621,164228,213527,183281,186480,187011,196749,167713,182936,176085,200034,204178,248326,215929,220069,166651,206700,206813,184605,156501,57759,21532,30750,53435,45366,78956,58876,40800,78827,69377,7443,29029,68847,77868,76061,90443,114356,80643,90357,88810,133035,173315,133937,123433,87068,113285,167986,252642,311577,265538,245879,215216,229605,202822,235088,200077,193320,206388,221453,265027,337062,277346,294926,224672,274599,259091,252936,207577,238450,257912,262139,244528,331195,273988,292120,330225,270373,252025,201157,194858,201409
"019 문화 및 레저서비스","소계",20 인터넷쇼핑,94242,72901,88936,66084,76776,86509,82271,101624,74496,97818,65460,71778,64022,61442,96087,67870,61998,74968,63614,75356,73836,61376,73373,69403,68836,69543,73468,94922,100869,110917,93469,96812,83251,115207,88214,68436,55095,23350,7023,11059,18708,15397,27067,16459,12061,29574,30474,3484,10302,25595,28824,28977,32716,43239,29270,31005,30655,52466,71001,48321,47342,35905,52496,68769,100741,129024,93104,88123,99529,102970,86217,85344,68670,72645,86250,94969,113609,155880,106796,125694,101491,121233,115490,93422,83111,93902,119477,118459,103772,156495,113169,123722,162240,112709,100527,82985,77862,98889
"019 문화 및 레저서비스","소계",10 모바일쇼핑,70012,50991,49197,53515,57009,57802,69376,83259,52535,81688,79622,135272,118365,90396,75329,97095,91742,94653,100614,138171,109445,125104,113638,127346,98877,113392,102617,105113,103309,137409,122460,123257,83400,91494,118599,116169,101406,34409,14510,19691,34728,29968,51889,42418,28739,49254,38903,3959,18727,43253,49044,47084,57727,71117,51373,59352,58155,80569,102314,85616,76091,51164,60789,99217,151901,182553,172433,157755,115687,126635,116605,149743,131407,120675,120138,126485,151418,181182,170550,169231,123181,153365,143600,159514,124466,144548,138435,143680,140757,174700,160820,168398,167985,157664,151499,118171,116996,102521
"020 이쿠폰서비스","소계",00 계,88648,80796,90149,84933,98613,95019,91627,100868,100399,96038,124328,150210,105594,129231,139594,133138,169050,165691,171906,180791,203876,202733,239185,267753,240122,234109,257544,226798,275980,259856,282476,309178,276810,302371,369420,345362,318519,334652,361009,346568,353267,322707,356229,362136,412319,371926,417358,538489,473998,490846,498738,455679,509423,496434,499345,494683,544673,464374,523554,647950,630161,562045,601335,555143,625029,515592,589275,612826,698777,617221,743226,784783,760223,722182,764511,767869,851625,747680,723811,780787,902173,848092,865533,1007795,918021,984650,878327,876271,971972,959611,527105,438098,513749,457371,539282,587369,585627,507447
"020 이쿠폰서비스","소계",20 인터넷쇼핑,14216,11707,12277,12206,14631,16151,15604,17291,17375,16436,20237,27963,20062,20823,23768,21048,31942,34733,32188,27793,35669,34178,39540,40676,35976,26790,34335,29748,35151,33275,35781,53619,34358,35621,45788,40531,36686,36803,50540,41765,46904,43979,54142,47782,52527,52542,55372,54688,55347,51311,63979,48575,54538,59267,57813,54536,50971,44770,47554,65821,78296,73667,83337,78325,84732,68872,82958,100859,117974,112295,126376,142893,136020,160448,172657,183043,185204,170930,157670,187070,225270,204392,198966,215183,256550,269786,252304,269344,271371,253611,88981,43281,51973,62112,76180,82472,73899,74450
"020 이쿠폰서비스","소계",10 모바일쇼핑,74432,69089,77872,72727,83982,78868,76023,83577,83024,79602,104091,122247,85532,108408,115826,112090,137108,130958,139718,152998,168207,168555,199645,227077,204146,207319,223209,197050,240829,226581,246695,255559,242452,266750,323632,304831,281833,297849,310469,304803,306363,278728,302087,314354,359792,319384,361986,483801,418651,439535,434759,407104,454885,437167,441532,440147,493702,419604,476000,582129,551865,488378,517998,476818,540297,446720,506317,511967,580803,504926,616850,641890,624203,561734,591854,584826,666421,576750,566141,593717,676903,643700,666567,792612,661471,714864,626023,606927,700601,706000,438124,394817,461776,395259,463102,504897,511728,432997
"021 음식서비스","소계",00 계,183355,173924,192095,196543,210565,195630,224624,253760,239118,242774,280640,339540,347457,324245,361763,365956,389395,413053,456927,496930,463750,502456,510496,630349,621909,614963,694509,686320,742382,774478,828915,917005,854892,913722,1026981,1059286,1063619,1135181,1252296,1263001,1320810,1253492,1378784,1677419,1604224,1546882,1643228,2198156,2166392,1946770,2111977,2134902,2341267,2196562,2658286,2724855,2491988,2597120,2407270,2883123,2848017,2697750,2879687,2529266,2504692,2498293,2723237,2711651,2406359,2577341,2497013,2763626,2687432,2451832,2558584,2550159,2647986,2592212,2856913,2883247,2651956,2738521,2703046,3050324,2913807,2792580,2936098,2799651,3014388,3031726,3210159,3429586,3135710,3140284,3075075,3510051,3439164,3097079
"021 음식서비스","소계",20 인터넷쇼핑,32810,28759,30493,30273,31139,25541,27301,34667,30106,32224,34430,40576,37792,35445,35896,47587,33475,38204,41490,43611,40102,41489,42091,52591,53351,48759,54675,49084,49857,52192,55648,59450,55127,59150,61128,67608,66559,69058,72457,77618,88284,68439,73213,84744,74261,68510,70275,87035,67562,60117,59810,53982,57461,51466,59661,58061,59192,55321,45502,54361,51266,49522,49492,43815,44575,39867,43126,42626,36595,37986,36591,40575,39623,35324,37550,37861,37653,35505,38771,38113,34447,36297,34868,38726,35438,33504,34043,30912,31515,31978,34094,35529,32221,32499,30898,35015,32166,28433
"021 음식서비스","소계",10 모바일쇼핑,150546,145165,161602,166271,179426,170090,197324,219093,209012,210551,246210,298964,309665,288800,325867,318369,355920,374849,415437,453319,423648,460967,468405,577758,568558,566204,639833,637236,692525,722286,773268,857555,799765,854572,965853,991679,997060,1066123,1179839,1185383,1232526,1185053,1305571,1592675,1529963,1478372,1572953,2111121,2098830,1886653,2052167,2080920,2283806,2145096,2598625,2666794,2432796,2541799,2361768,2828762,2796751,2648228,2830195,2485451,2460117,2458426,2680111,2669025,2369764,2539355,2460422,2723051,2647809,2416508,2521034,2512298,2610333,2556707,2818142,2845134,2617509,2702224,2668178,3011598,2878369,2759076,2902055,2768739,2982873,2999748,3176065,3394057,3103489,3107785,3044177,3475036,3406998,3068646
"022 기타서비스","소계",00 계,65597,40733,35946,53217,43491,41104,52019,52619,124287,52464,56711,56692,73143,57680,61834,62168,58382,59336,62419,62096,133184,75523,75220,78190,97802,77885,78986,79595,90207,87966,96756,129122,174802,121149,134574,180256,168271,157638,75497,124663,98988,104283,114718,164299,142442,161062,134682,143767,178931,181705,270543,151005,163733,194354,207668,203378,224920,142147,136609,151394,168309,179230,202627,193552,196430,207743,222615,200805,264009,202852,236925,197819,157403,148298,145906,174491,162922,162277,176305,206882,231414,189356,206381,206002,224630,196288,165136,207765,213351,209125,207227,210287,278025,255177,354385,388224,339220,333926
"022 기타서비스","소계",20 인터넷쇼핑,41810,22608,19826,21513,18357,18198,24316,21923,92102,27007,31121,31087,42361,27138,32485,28747,29079,30702,30437,28968,95345,39959,42304,43518,62056,43859,40724,42662,45501,44161,44998,58226,115446,63323,78458,93809,75099,64288,32133,49637,37734,43133,46303,62924,76210,96795,55002,68685,79824,74512,113918,63613,58345,74630,80773,76718,125469,58273,57437,65805,81181,76792,86749,80340,77519,89966,96900,83021,157004,99534,110849,102496,76993,70954,67187,77544,69670,76889,79281,97792,151010,95993,103356,109029,113186,91228,78693,102838,96398,101147,117371,100092,166448,130833,170415,213985,166383,170841
"022 기타서비스","소계",10 모바일쇼핑,23788,18125,16120,31704,25133,22907,27703,30697,32185,25456,25590,25605,30782,30542,29349,33421,29302,28634,31983,33127,37839,35564,32916,34672,35746,34027,38262,36933,44706,43805,51758,70896,59355,57826,56116,86448,93172,93350,43364,75026,61255,61150,68415,101375,66232,64267,79680,75082,99107,107192,156626,87393,105388,119724,126896,126660,99451,83875,79172,85589,87128,102439,115878,113212,118911,117777,125715,117784,107004,103319,126075,95323,80410,77343,78719,96947,93251,85388,97023,109090,80404,93363,103025,96973,111444,105061,86443,104927,116953,107978,89856,110194,111577,124344,183970,174239,172838,163085
"023 기타","소계",00 계,144492,141578,175648,163064,164517,180332,169045,179305,192273,171293,219066,273094,227959,224621,277245,221213,222905,200405,201779,202654,220440,241164,311896,313984,223939,221598,327742,195957,195838,161668,182308,203535,192953,206265,206900,213645,356840,323190,324693,258478,345233,310461,331894,384115,337233,316098,351233,366562,290585,285156,374382,300727,312544,274226,283703,262588,261694,276798,280987,330100,279701,289580,304252,294157,288946,274668,298550,298040,279356,280544,290291,321267,294192,263367,298547,311376,285003,263733,296819,302162,278243,310918,337165,308134,230578,218203,250719,261513,248212,227441,229672,213086,245118,251823,257341,255239,214610,206263
"023 기타","소계",20 인터넷쇼핑,86780,80170,97661,90639,92076,99948,93311,103067,104940,96251,105278,133830,110089,91943,129620,102789,105807,95910,95215,95804,103602,111266,142644,145458,115855,117022,205975,106440,97398,74843,84678,107102,80243,97450,97884,100009,143693,115865,130698,105643,127079,123498,124934,124467,117424,128928,138622,149869,104395,113062,146572,107097,105681,112787,115173,99717,93084,99223,100528,118920,82200,79891,88502,86962,83007,77836,86644,84085,77614,90865,93419,102391,83438,82198,95301,95994,87406,92935,100153,98979,93301,115658,109498,101963,82418,76466,86674,91197,83236,73886,81270,69974,76443,79014,83876,80215,58817,67248
"023 기타","소계",10 모바일쇼핑,57713,61409,77987,72425,72441,80383,75734,76238,87334,75041,113788,139263,117870,132678,147626,118425,117098,104495,106564,106850,116839,129898,169252,168526,108084,104577,121766,89517,98440,86824,97630,96433,112710,108815,109016,113636,213148,207325,193996,152835,218155,186963,206960,259648,219809,187170,212611,216693,186190,172094,227810,193630,206864,161439,168530,162871,168609,177575,180459,211181,197502,209689,215750,207195,205939,196832,211906,213955,201742,189679,196872,218876,210753,181168,203246,215381,197596,170797,196665,203183,184942,195260,227668,206171,148160,141738,164045,170316,164976,153555,148402,143112,168675,172809,173466,175024,155793,139016
