"A 상품군별(1)","A 상품군별(2)",B 판매매체별(1),M201701 2017.01,M201702 2017.02,M201703 2017.03,M201704 2017.04,M201705 2017.05,M201706 2017.06,M201707 2017.07,M201708 2017.08,M201709 2017.09,M201710 2017.10,M201711 2017.11,M201712 2017.12,M201801 2018.01,M201802 2018.02,M201803 2018.03,M201804 2018.04,M201805 2018.05,M201806 2018.06,M201807 2018.07,M201808 2018.08,M201809 2018.09,M201810 2018.10,M201811 2018.11,M201812 2018.12,M201901 2019.01,M201902 2019.02,M201903 2019.03,M201904 2019.04,M201905 2019.05,M201906 2019.06,M201907 2019.07,M201908 2019.08,M201909 2019.09,M201910 2019.10,M201911 2019.11,M201912 2019.12,M202001 2020.01,M202002 2020.02,M202003 2020.03,M202004 2020.04,M202005 2020.05,M202006 2020.06,M202007 2020.07,M202008 2020.08,M202009 2020.09,M202010 2020.10,M202011 2020.11,M202012 2020.12,M202101 2021.01,M202102 2021.02,M202103 2021.03,M202104 2021.04,M202105 2021.05,M202106 2021.06,M202107 2021.07,M202108 2021.08,M202109 2021.09,M202110 2021.10,M202111 2021.11,M202112 2021.12,M202201 2022.01,M202202 2022.02,M202203 2022.03,M202204 2022.04,M202205 2022.05,M202206 2022.06,M202207 2022.07,M202208 2022.08,M202209 2022.09,M202210 2022.10,M202211 2022.11,M202212 2022.12,M202301 2023.01,M202302 2023.02,M202303 2023.03,M202304 2023.04,M202305 2023.05,M202306 2023.06,M202307 2023.07,M202308 2023.08,M202309 2023.09,M202310 2023.10,M202311 2023.11,M202312 2023.12,M202401 2024.01,M202402 2024.02,M202403 2024.03,M202404 2024.04,M202405 2024.05,M202406 2024.06,M202407 2024.07,M202408 2024.08,M202409 2024.09,M202410 2024.10,M202411 2024.11,M202412 2024.12,M202501 M202501 2025.01 p),M202502 M202502 2025.02 p)
"007 가방","소계",00 계,143643,163204,168660,159399,152370,149442,151719,163461,165215,157007,169508,180854,186542,178154,194190,185469,190609,176525,192018,180739,176869,184737,180036,201321,202289,211934,230083,218640,225132,210523,209939,222228,228842,235527,232236,245214,173301,168500,148699,135553,153351,157391,169311,161919,158551,164310,166712,158409,155942,173834,203069,193441,192802,181809,190635,192678,206281,226365,226202,231770,228580,227861,243024,227229,232795,228128,220643,237097,232017,220030,235748,222771,242710,253367,280848,258111,262579,238692,252173,254141,243256,232269,229046,240898,240128,246861,259146,236144,238177,209323,226113,210406,213229,212569,207817,216348,200852,210513
"007 가방","소계",20 인터넷쇼핑,43978,53127,54028,47250,45044,43903,44194,47640,48352,44345,49080,51051,51391,48277,50380,49197,48223,45187,50196,45336,41905,44515,43401,47722,50523,49676,53787,55233,55623,48750,54842,52064,54017,54563,55558,57540,49427,47170,44298,43952,44929,42383,49197,45372,44973,44855,49657,45691,41189,46304,55776,52194,51301,49554,52386,50221,51795,56886,54094,57408,53407,52920,57806,56447,59039,59609,52279,56593,55597,54956,65056,61074,71641,80947,92947,80988,81029,78745,76123,76006,74218,68626,74247,74962,76612,78264,80991,75281,74693,64055,71092,62529,63150,65917,62592,67423,59815,66961
"007 가방","소계",10 모바일쇼핑,99665,110077,114633,112149,107327,105539,107525,115821,116864,112662,120428,129802,135151,129877,143810,136272,142386,131338,141822,135402,134965,140222,136635,153599,151766,162258,176296,163407,169509,161773,155097,170164,174824,180964,176678,187674,123875,121330,104401,91601,108422,115008,120113,116548,113579,119455,117055,112718,114752,127529,147292,141248,141501,132256,138249,142457,154486,169479,172108,174362,175174,174941,185217,170782,173755,168519,168364,180504,176420,165074,170692,161697,171069,172420,187902,177123,181550,159947,176050,178135,169038,163643,154798,165936,163516,168597,178155,160862,163485,145268,155021,147878,150079,146652,145225,148926,141037,143552
"008 패션용품 및 액세서리","소계",00 계,143439,146885,165677,165183,168702,162825,170035,178204,170345,161449,189580,206100,195299,178379,210147,196288,198073,189401,209945,194350,169357,182647,192160,220802,191270,185262,211277,213521,233789,215417,231955,212401,212056,206328,216318,242365,228618,215694,222295,202474,228931,234539,246560,220971,207302,213669,237435,285067,241517,222517,266732,268753,283261,268901,281122,261076,260561,286796,304898,373651,317812,292998,301229,297406,323253,315649,318959,307539,292988,293429,324073,414493,316390,293703,330225,318319,342980,317978,335902,324621,295736,302387,342913,392863,320446,289619,340047,341279,355848,332937,357986,311349,307413,326472,343849,409981,321938,352775
"008 패션용품 및 액세서리","소계",20 인터넷쇼핑,56669,58915,63045,59952,61938,61378,63749,67589,63340,57204,66076,69667,67231,60565,71766,64739,66788,64458,70239,67109,57332,58805,60670,69189,57407,57275,66365,73293,76517,66261,70801,65641,65576,63501,63314,69366,60205,58294,60425,57173,64231,64361,68463,57366,55034,54693,63378,71753,58365,53788,65928,65080,67050,64848,67930,61175,59593,68668,69922,83741,67246,59381,61137,62245,67640,64340,63178,65989,61600,73840,76868,91150,74953,70850,83593,79394,82485,78994,80231,76778,75183,69302,78529,85440,70610,64983,75031,76974,79691,70171,75820,66060,64622,70780,72773,86232,63856,73877
"008 패션용품 및 액세서리","소계",10 모바일쇼핑,86770,87970,102632,105230,106764,101447,106286,110615,107005,104244,123504,136433,128067,117814,138381,131549,131286,124943,139706,127241,112025,123842,131490,151613,133863,127988,144911,140228,157272,149156,161154,146760,146480,142827,153004,172999,168413,157400,161870,145300,164699,170177,178097,163605,152268,158977,174057,213314,183152,168729,200804,203673,216211,204053,213192,199902,200968,218128,234976,289910,250566,233617,240092,235161,255613,251309,255782,241550,231388,219589,247205,323343,241436,222853,246633,238925,260495,238984,255671,247842,220553,233085,264384,307424,249836,224636,265016,264305,276156,262767,282166,245288,242791,255692,271075,323749,258082,278898
"009 스포츠·레저용품","소계",00 계,201380,207110,257361,283154,292971,289069,292683,266351,265466,274798,313019,258250,230779,200710,283820,298574,330784,325017,360361,300229,304161,389324,373871,332875,275432,251940,331660,361085,408724,363405,391095,337705,343934,406650,417226,361262,274151,280908,355634,425931,475128,473507,489664,404842,443762,544942,532682,468063,358295,325108,449411,509969,503709,493076,512539,464797,504565,584014,541270,504776,392092,367342,477696,548143,584236,515473,524621,496034,522806,594858,552234,504217,362732,370032,491591,509092,559310,519645,489198,474082,483716,580788,566722,445729,382970,361393,467331,524606,544687,497178,465224,430604,447934,537170,526584,437787,352112,343638
"009 스포츠·레저용품","소계",20 인터넷쇼핑,104489,106163,128706,135380,138288,137585,133912,122467,124327,126699,141177,118429,104533,91209,123291,129065,137411,133562,145252,123519,126162,157246,150248,133187,110120,101920,138742,155688,168489,145672,159170,136062,138503,160646,157915,142094,96056,98994,121914,148167,157202,157255,163855,126290,141973,175550,179696,154353,112062,97819,137008,152182,143349,144128,150412,131717,138450,165433,160537,153219,113382,102563,129675,146358,158580,137258,135158,129702,136262,167426,164837,148145,103586,107604,142309,144601,152446,147203,134959,130238,135550,165712,166528,132417,107681,97248,120060,137957,141722,130361,127824,110890,113928,143550,153516,135970,104251,102955
"009 스포츠·레저용품","소계",10 모바일쇼핑,96891,100947,128655,147775,154683,151484,158771,143884,141138,148099,171843,139821,126246,109501,160529,169509,193374,191456,215110,176711,178000,232078,223624,199688,165312,150020,192918,205397,240235,217734,231926,201643,205431,246005,259311,219167,178095,181914,233720,277764,317926,316252,325810,278553,301788,369391,352986,313710,246233,227289,312403,357786,360360,348949,362127,333080,366115,418581,380733,351557,278711,264779,348021,401785,425657,378215,389463,366332,386544,427432,387397,356073,259146,262428,349282,364491,406864,372442,354239,343844,348166,415076,400194,313312,275289,264144,347270,386649,402965,366817,337400,319714,334006,393620,373069,301818,247861,240683
"010 화장품","소계",00 계,654145,729228,715294,583336,622853,652533,619456,652563,717116,677876,789224,703544,770908,746376,831653,802428,818526,772505,778966,801984,849617,894287,911566,873247,901348,863072,1025719,963721,990437,944962,986542,1039664,1102640,1158245,1210348,1193049,1146509,1065530,1005016,982493,962443,1031949,1070731,1135896,1127110,1081927,1182673,1148286,1147751,966912,1111699,1096267,1199025,1096774,1052667,974706,1061988,1029706,1119776,1019900,926667,908626,1002663,914043,981610,941103,855691,882205,897013,905143,919090,930109,941917,894052,983642,982948,1037157,969113,954107,997859,1005660,1060209,1095027,1057364,1106296,982647,1092583,1066066,1102383,1036612,1006399,1031260,1032517,1049621,1127533,1191040,1151705,1116649
